PERMCO,GVKEY,companyid
16114,61866,6291
11617,25536,6297
44995,63224,6311
14479,62516,6334
9193,16748,6336
13695,31752,6339
20421,2884,6353
10902,23945,6357
37706,136804,6358
7137,2888,6359
1119,16747,6368
20514,3480,6372
8786,12850,6375
15306,64327,6389
15758,65609,6438
11905,26900,6454
15592,65088,6460
14785,63195,6474
15826,65850,6491
894,2938,6506
29717,25964,6510
9662,16751,6520
27456,3203,6535
899,2950,6544
5589,2951,6554
13998,61355,6556
871,2953,6558
11706,25737,6559
29994,29070,6565
20435,2960,6573
15434,29453,6592
892,2986,6612
20440,2991,6627
15025,63739,6633
20442,2999,6634
12036,27981,6637
15697,65430,6647
14331,61960,6649
6249,3011,6728
991,16769,6730
32132,65615,6738
32051,65156,6742
11593,25433,6744
17990,130040,6746
15573,65042,6766
1103,3026,6779
27849,3028,6783
902,3031,6785
15321,64356,6834
912,14824,6863
6304,3062,6877
39154,140042,6881
6130,3048,6882
36337,124775,6893
10210,16401,6905
10486,20779,6908
20454,31629,6914
20483,3243,6930
46103,18037,6935
7569,3071,6940
41387,142644,6947
51444,117901,6948
36338,125234,6951
913,16775,6952
14201,61676,6959
9280,16781,6972
1194,3082,6975
6295,3087,7004
952,3093,7008
16269,113459,7024
12146,28296,7041
14266,282553,7043
9616,14027,7045
37704,137252,7060
12793,29621,7130
20501,3416,7162
40143,140541,7173
6719,3129,7181
16163,111779,7198
1440,4128,7199
20468,3144,7204
15450,17715,7221
1071,3153,7223
10256,16188,7251
16167,111864,7256
26138,14459,7257
45467,266214,7259
1033,3157,7262
13451,31093,7265
20470,3158,7269
15579,65026,7274
20473,3170,7293
14742,63084,7300
17317,125975,7306
1038,3178,7313
29960,28900,7331
16037,66504,7332
11576,25376,7352
9879,14597,7355
16029,105936,7358
14387,62221,7368
978,3218,7378
56028,151928,7383
43613,3226,7387
962,3226,7387
1261,3231,7401
301,6809,7408
31994,64997,7410
14729,61206,7415
7257,12140,7422
9645,19262,7423
10690,22797,7425
7263,16784,7430
779,3238,7431
12733,29492,7434
12464,28970,7438
20484,3246,7443
14687,17795,7444
7361,16227,7454
5195,41076,7457
40986,17919,7465
32028,65142,7469
11087,24397,7472
13663,31702,7482
7871,16790,7483
9772,16791,7484
31913,61885,7490
42539,64142,7492
46270,116894,7503
15152,62646,7507
16488,119714,7550
20492,3297,7552
1186,3342,7588
11860,26011,7599
34680,66602,7600
9465,34010,7606
9654,3358,7609
8818,12884,7616
20495,3362,7619
14327,62236,7633
9856,14808,7636
15760,65622,7637
16349,116787,7647
16338,116526,7667
9370,13623,7675
14326,62237,7677
1191,3394,7682
46107,122916,7685
1003,3399,7691
20499,3413,7705
13135,30310,7710
27403,13512,7713
1177,3429,7720
1015,2710,7753
20258,1995,7755
10197,15859,7762
11764,25852,7768
59022,40383,7773
23504,10484,7780
13721,61061,7787
20513,3465,7799
1606,4477,7812
34849,113419,7817
13833,60894,7835
5780,3504,7836
20518,3502,7840
33,3505,7847
12926,29901,7852
31894,14794,7888
37149,133985,7897
15738,65578,7903
32174,66016,7905
31760,63707,7907
30856,31627,7908
20523,3532,7915
16422,118502,7942
34717,109842,7949
12817,29669,7950
32025,65084,7952
10253,16480,7962
37491,123415,7993
11003,24225,7996
37925,135865,7997
16188,112111,8021
7882,29028,8022
796,3555,8051
1131,3556,8059
1072,3562,8062
16381,114920,8063
15891,22507,8064
31821,64162,8065
15372,64639,8066
10891,23877,8069
31728,63657,8078
10557,21427,8106
20531,3580,8113
1100,3581,8117
13994,61350,8119
34827,112875,8174
12515,29085,8179
11561,25339,8183
1109,3594,8219
11946,27794,8220
16375,106073,8230
22140,17761,8255
9205,13332,8263
42265,144396,8282
20533,3612,8288
17211,125276,8294
16268,113490,8304
20538,3622,8307
37510,134026,8312
11958,27823,8338
10390,17199,8339
15800,65765,8392
20541,3639,8404
15079,63866,8406
840,3643,8414
6342,3647,8415
16200,63511,8420
20543,3650,8426
16017,66698,8430
38412,138341,8434
39156,139922,8435
20546,3662,8446
13937,61171,8459
8565,12575,8472
9632,14108,8484
13353,30760,8495
16605,121656,8509
2730,6839,8512
12315,28668,8529
14959,63600,8534
6708,5841,8540
8222,12215,8542
30069,29511,8549
8300,12274,8551
14414,62336,8558
15000,63679,8560
16526,120456,8591
8278,12568,8605
12843,29705,8634
52956,3734,8660
20557,3735,8663
28924,23485,8673
30886,31846,8697
13300,30651,8699
1239,3761,8717
