CRSP_PERMCO,Compustat_GVKEY,BoardEx_boardID,TICKER,RP_entityID
11829,025972,31204,AHCI,NaN
56269,035852,2778711,AHCO,E6C8DC
10918,023988,2401,AHG,NaN
50723,166363,914699,AHGP,NaN
54384,017626,1950821,AHH,54A713
51649,176361,942196,AHII,NaN
17168,124315,1846,AHMIQ,BE280A
6387,010439,2893,AHNA,NaN
11282,024837,1503,AHPIQ,NaN
44265,155754,550882,AHT,6BDF40
15121,063945,2375,AICX,NaN
137,001487,1856,AIG,0BC29E
876,005569,490,AIH,F38DD3
32187,066000,26434,AIII,NaN
9462,013789,1169,AIJ,NaN
51546,176247,930959,AIMC,83C1F5
14880,063446,3556292,AIMD,15EC17
55389,025077,2316938,AIMT,NaN
9550,014084,1283,AIN,EE967B
132,001236,1283,AIN,EE967B
12140,021144,2377,AINN,0BC29E
16622,121759,15468,AIOT,NaN
58822,039805,3468333,AIP,67S9OX
32096,065570,1862,AIPC,NaN
11188,013657,1457,AIQ,98D5BC
9442,013657,1457,AIQ,98D5BC
20000,001004,394,AIR,1FA886
59690,043211,3695407,AIRE,077BDB
55667,027703,2506658,AIRG,C18941
54440,166087,1958067,AIRI,E01B06
9462,013789,1169,AIRM,NaN
37915,137861,1194,AIRO,NaN
58823,039830,3470157,AIRS,LZBEGC
6977,001210,1174,AIRT,8F6488
52538,177883,1080002,AIRV,NaN
58083,038360,3368845,AISP,NaN
20283,002101,2376,AIT,724789
30438,030490,2310,AIV,250BEE
44893,157057,550072,AIZ,DD682D
12549,029143,2044,AJB,41ECBC
7094,004973,12761,AJG,AADE0B
173,001633,2146,AJM,NaN
20786,005018,13020,AJRD,A47A7D
58753,039500,3452695,AKA,674192
17300,125595,1221,AKAM,BB5271
54778,019718,2053236,AKAOQ,69EB4C
54779,019859,2055831,AKBA,0F0693
55999,032046,2680801,AKCA,479AB8
57711,037642,3323751,AKICU,DF3B09
56789,035267,3046564,AKRO,ED22DC
9743,014304,1228,AKRXQ,NaN
12961,029968,1216,AKS,NaN
14632,062874,1233,AKSY,3E17F1
55883,021042,2631875,AKTS,70CA28
57109,036572,3205872,AKUS,579E8F
58193,038527,3382753,AKYA,8EBA88
40978,141236,1452,ALAA,NaN
30249,029751,1287,ALB,8E82A6
52284,029018,952385,ALBO,20751
56585,034382,2940232,ALBT,NaN
153,001266,1383,ALCO,2FF046
13401,004090,9714,ALCSQ,NaN
1417,004090,9714,ALCSQ,NaN
59570,042024,3641104,ALCY,NaN
59570,042024,3641104,ALCYU,NaN
12586,116004,1498,ALD,AA8D10
10346,016634,1498,ALD,AA8D10
168,016633,1498,ALD,AA8D10
12181,028388,1335,ALDA,NaN
54856,020033,2066810,ALDR,NaN
54255,015235,1906253,ALDW,NaN
54857,020018,2065306,ALDX,BC6620
21206,007437,1431,ALE,F02D0A
56632,034616,2990559,ALEC,4CDA2B
54099,011756,1830202,ALEX,270B78
1682,016629,1357,ALFA,125808
58277,037781,3389821,ALFIQ,NaN
12025,027960,1259,ALG,763724
418,001496,1869,ALGI,NaN
57417,037309,3291073,ALGM,AED763
41154,141384,1384,ALGN,221AD7
56448,033758,2837352,ALGR,NaN
56448,033758,2837352,ALGRU,NaN
51547,175007,1000666,ALGT,458D2C
58011,038238,3373178,ALHC,EA7252
58517,036463,3196593,ALIT,B91342
57076,036463,3196593,ALIT,B91342
31946,064690,3128,ALIV SDB,NaN
46986,163939,595598,ALJ,NaN
55563,062582,2455626,ALJJ,8762CE
14500,062582,2455626,ALJJ,8762CE
20035,001230,1273,ALK,15B29C
11023,024302,1391,ALKS,F2C97F
58194,038329,3382091,ALKT,9BCA9C
29870,028349,1534,ALL,51CDFC
51650,031576,1010761,ALLB,NaN
54641,316056,2018327,ALLE,9A3FF4
46843,015798,747063,ALLI,0C4124
10250,015798,747063,ALLI,0C4124
56442,033721,2885437,ALLK,C9732E
56536,034161,2927408,ALLO,095A04
53687,005072,13003,ALLY,3B20AB
56125,032529,2724089,ALNAQ,NaN
16380,017908,1453,ALNC,NaN
2088,005520,645861,ALNT,NaN
45191,264265,117536,ALNY,2C7505
173,001633,2146,ALOG,NaN
58919,040072,3477467,ALOR,IXYCUV
58919,040072,3477467,ALORU,IXYCUV
5225,001820,2862,ALOT,8E9091
16529,120513,1528,ALOY,NaN
55297,024135,2300290,ALRM,4BEB48
56887,018434,3081088,ALRS,249B39
59055,039452,3487101,ALSA,NaN
12627,029323,1469,ALSC,NaN
6520,005336,4861,ALSE,6A242C
17395,126555,1275,ALSK,NaN
54006,177966,1806302,ALSN,9EA947
56692,036206,3020203,ALTG,8295B8
18698,133424,1524,ALTH,NaN
16147,163595,748451,ALTO,3EBF42
50193,165857,530267,ALTUQ,NaN
57613,037077,3310332,ALTUU,EA0FBE
27591,011291,33088,ALTV,NaN
59615,037819,3341525,ALUR,NaN
57858,037819,3341525,ALUR,NaN
57160,036786,3242125,ALVR,2C5F89
20041,001257,1351,ALX,03CCC5
50482,166414,832353,ALXA,NaN
14394,062263,1355,ALXN,NaN
57164,036704,3236154,ALXO,C29E71
56544,034376,10104,ALYA,F7A611
14987,063667,10104,ALYA,F7A611
58428,038791,3406824,ALZN,470178
50483,105369,2015,AMAB,NaN
6743,001523,1872,AMAC,NaN
8284,012250,874,AMAG,BBA1F4
56481,033625,2895826,AMAL,222BF9
194,001704,2382,AMAT,A4BCDE
54217,015420,1894867,AMBA,E0C874
29052,024287,1951922,AMBC,966DBE
54406,185857,1953141,AMBI,NaN
42909,137370,1990,AMBK,4FFBC1
53480,185263,2822957,AMBO,CA2F0B
54759,019989,2056218,AMBR,NaN
53867,105346,1715824,AMBTQ,NaN
15854,065904,2384,AMCC,NaN
53337,178995,1649251,AMCO,NaN
50291,165458,482658,AMCP,NaN
56767,100243,1736,AMCR,DF8855
29217,100243,1736,AMCR,DF8855
32038,065072,32822,AMCS,NaN
53816,187406,1710266,AMCX,C54140
211,001161,881,AMD,69345C
13269,030612,1742,AMED,2336CD
15709,065464,263142,AMEN,NaN
8224,016643,1737,AMFIQ,NaN
32136,065886,1002,AMG,30E01D
50588,166437,1015497,AMGI,NaN
216,001602,2068,AMGN,76F067
121,001468,1833,AMGTB,NaN
21853,010451,28461,AMIC,NaN
53827,033700,1714749,AMID,NaN
13907,061121,1717,AMIEQ,NaN
52662,066149,1857,AMIN,984C1B
44377,155735,533075,AMIS,NaN
16080,110039,2079,AMKR,5C8D61
30248,029693,2081,AML,065B45
11286,024843,2134,AMLN,NaN
59116,040470,3495163,AMLX,SDTVU0
50013,022570,924579,AMM,4V9KWN
38401,138741,1874,AMMD,NaN
30479,030876,1443,AMO,NaN
35171,121833,1880,AMOAQ,NaN
47422,164708,667645,AMP,942633
57904,017396,3351543,AMPG,43DA04
58015,037963,3357915,AMPI.U,0FF15B
58702,039555,3456113,AMPL,NaN
238,001611,2095,AMPLQ,NaN
57594,037355,3311627,AMPS,NaN
59244,040636,3513672,AMPX,NaN
23422,001614,2099,AMPXQ,NaN
11628,025554,2099,AMPXQ,NaN
54043,194755,2584810,AMPY,323C60
56578,027841,2944533,AMR,13C3E0
40193,060983,1922,AMRB,NaN
53454,185128,1654280,AMRC,1272B3
2648,006736,1654280,AMRC,1272B3
54133,149620,1876050,AMRE,NaN
13950,037640,2730376,AMRH,NaN
16397,118081,1285,AMRI,NaN
54780,019172,2054999,AMRK,F769E9
53510,184717,1664727,AMRSQ,NaN
14243,018888,1560214,AMRX,877C0C
7119,001559,1927,AMS,642EEA
11248,024795,1942,AMSC,35579D
48766,164572,482661,AMSF,746373
37178,133728,587119,AMSI,NaN
15809,063059,646485,AMSIQ,NaN
34770,105365,1954,AMT,A80FE0
56487,033999,2936606,AMTB,10AE08
20070,001415,2049,AMTCQ,NaN
20070,001416,2049,AMTCQ,NaN
16174,017982,2049,AMTCQ,NaN
15370,064552,2048,AMTD,5893CA
53828,186743,1713938,AMTG,NaN
54882,162453,2073916,AMTX,B5DA6D
50484,063798,734842,AMTY,78AA0B
29736,027758,734842,AMTY,78AA0B
8418,012379,1968,AMWD,0968A5
57258,036950,3268369,AMWL,AA76A1
43335,149620,660177,AMYRZ,NaN
54621,160874,2011961,AMZGQ,NaN
15473,064768,1703,AMZN,0157B1
55847,026162,2605433,ANAB,6925EB
53570,179438,1674049,ANAC,18D77B
57886,038013,3353805,ANAC.U,18D77B
13687,031743,2139,ANAD,NaN
53636,181515,1914773,ANCB,NaN
9093,016224,1914773,ANCB,NaN
17477,127174,1189,ANCCQ,NaN
45415,160891,796932,ANCX,NaN
14382,001659,2177,ANDE,BCE9DA
