CUSIP,CRSP_PERMCO,TICKER,Compustat_GVKEY,BoardEx_boardID,RP_entityID
15116730,11064,CTSC,018666,2061345,
05482510,430,AZTC,001926,3344,
78661R10,59100,SAGA,038880,3489469,
11563710,20340,BFD,002435,5210,
52328E10,57778,LDTC,037679,3325550,
G9777510,58903,WWAC,039746,3465191,
30052F10,57299,EVGO,039159,3274937,
88605L10,58491,THCP,038405,3415321,
50200510,21854,LLC,012578,32239,
24345A50,26126,DPSI,179454,3529740,
64110Y10,59673,NLOP,043521,3698667,
15083740,6617,CELI,012711,6162,
11144470,14283,BYFC,061815,5172,
04004410,53854,AREN,029064,3507074,
82003F10,59272,STSS,041053,3525530,
16516773,11937,CHK,027786,3396703,
73278L10,14046,POOL,061420,27358,
12654510,6391,CUCD,003278,6237,
00847G70,17936,AGEN,129466,2278,
03842W10,59412,AQU,041294,3570265,
51476H10,57447,LCY,066871,3279795,
71424F10,55527,PR,026864,2415279,
26740W10,59354,QBTS,037136,3286426,
02369M10,58077,RMCO,038014,3368739,
70212E10,43688,PCVA,135788,73200,
G2R18K10,57698,CSTA,037795,3335719,
74623V10,57091,PCT,037664,3191711,
68823920,7765,OTRKB,011721,23438,
55448910,30458,VRE,030637,19381,
62911P20,59499,NFTG,041685,3614483,
38690310,20842,GXL,012321,32799,
00176510,20010,AMR,001045,2021732,
G5946720,55237,MFH,022864,2234417,
90291710,9804,USAS,014477,33114,
92852X10,59464,VTS,041901,3604128,
62474510,56276,MUDS,177405,2777181,
G7606H10,58990,RDZN,040084,3478617,
92719V10,58231,VMEO,038757,3397491,
29268T50,13276,EFOI,030614,11733,
25770120,8686,DGICA,016714,9513,
52661A10,59441,DRS,038477,25654,
92838F10,59302,VEDU,040829,3532812,
52464310,56138,LGC,032561,2730329,
03212B10,54043,AMPY,194755,2584810,
04845310,58070,ACAH,038071,3359625,
43114Q10,57240,HPK,036897,2805305,
14047520,32102,SNDA,065732,5744,
29103K10,59069,EMLD,040312,3487723,
67611810,44608,OMR,065374,22951,
98423B30,57455,XOS,039472,3278230,
39959A10,58460,UPXI,038661,3411896,
09216T10,56090,BRAC,035552,2712781,
09065560,58928,BRTX,066042,3472355,
G8T86C10,58063,SNII,038060,3357840,
64943930,57209,NYC,036037,3259260,
30231430,58720,EZFL,038932,3448963,
15643U10,34843,LEU,112759,32036,
07329510,15933,BBCN,066235,21503,
62885510,3151,NCB,007647,4504,
23292310,11432,CTII,029293,29185,
02358610,30020,UHAE,001393,1974,
56064K10,54108,MMD,012019,1828890,
60458C10,59621,MIRA,043186,3670563,
10319720,56151,BOXL,024421,2739107,
92971A10,56867,MAPS,039025,3066882,
88338H70,53825,THTX,029476,30600,
00832E10,55915,AFBI,029499,2717020,
25703A20,57595,DOMA,039357,3306353,
26414710,1418,DUCM,004091,9716,
62459N10,57962,MVLA,037923,3349927,
87851730,9899,TCLN,014603,24165,
79957L10,10836,SMTI,023623,3293089,
88831410,14293,TTP,061836,2349326,
91102410,7428,UMHI,010917,32126,
16905510,6760,CHLI,003007,5104,
26253C10,7922,DSS,018290,22003,
89109210,4516,TORO,010618,30955,
03836W10,21397,WTR,008542,24338,
42328V80,56338,HSDT,021000,2804720,
74276L10,58694,PRCT,039453,3448979,
45826T50,57151,ITRG,031347,1684479,
G1992Y11,57063,PCPL,036299,3190254,
87313P10,59466,TXO,041797,3607343,
08205P20,55390,BNTC,254381,67941,
65411010,56382,NKLA,036565,2817587,
12530C10,59122,CFSB,039622,3497052,
36118H10,57102,FUSE,039752,3206914,
36191J10,53724,GSVC,186993,1715488,
12572Q10,43791,CME,149070,268946,
63737220,15751,NRCIA,065587,21629,
69036R86,55056,OSG,008210,2155289,
04635X10,55302,ATXS,023980,2299963,
12738710,9245,CDNC,013421,5480,
05075710,20232,VOX,013354,3017,
34405730,57232,FLUX,011703,3249012,
29410010,1557,ENZO,004418,10841,
58354330,3074,SLNH,007183,3373197,
69181V10,44630,OXSQ,157452,630360,
